ticker,tier,bucket,listing,year,status,source,first_bar,n_bars
UDMY,T2,headline,2021-10-29,2021,missing_both_sources,,,0
CXM,T2,headline,2021-06-23,2021,ok,yfinance,2021-06-23,1267
FROG,T2,headline,2020-09-16,2020,ok,yfinance,2020-09-16,1460
CNM,T2,headline,2021-07-23,2021,ok,yfinance,2021-07-22,1247
BLND,T2,headline,2021-07-16,2021,ok,yfinance,2021-07-16,1251
WOOF,T2,headline,2021-01-14,2021,ok,yfinance,2021-01-14,1377
LDI,T2,headline,2021-02-11,2021,ok,yfinance,2021-02-11,1358
HAYW,T2,headline,2021-03-12,2021,ok,yfinance,2021-03-12,1338
HEPS,T2,headline,2021-07-01,2021,ok,yfinance,2021-07-01,1261
VZIO,T2,headline,2021-03-25,2021,missing_both_sources,,,0
ACVA,T2,headline,2021-03-24,2021,ok,yfinance,2021-03-24,1330
CHNG,T2,headline,2019-06-27,2019,missing_both_sources,,,0
VIPS,T2,headline,2012-03-22,2012,ok,yfinance,2012-03-23,3594
PVTL,T2,headline,2018-04-20,2018,missing_both_sources,,,0
BROS,T2,headline,2021-09-15,2021,ok,yfinance,2021-09-15,1209
BKFS,T2,headline,2015-05-20,2015,missing_both_sources,,,0
CVRR,T2,headline,2013-01-16,2013,ok,yfinance,2013-01-17,1515
SWCH,T2,headline,2017-10-06,2017,missing_both_sources,,,0
WB,T2,headline,2014-04-17,2014,ok,yfinance,2014-04-17,3075
DUOL,T2,headline,2021-07-28,2021,ok,yfinance,2021-07-28,1243
TXG,T2,headline,2019-09-12,2019,ok,yfinance,2019-09-12,1715
DRVN,T2,headline,2021-01-15,2021,ok,yfinance,2021-01-19,1375
VIA,T2,headline,2025-09-12,2025,ok,yfinance,2025-09-12,207
CWAN,T2,headline,2021-09-24,2021,late_start_gap,yfinance,2026-07-02,1
VNTV,T2,headline,2012-03-21,2012,missing_both_sources,,,0
CWK,T2,headline,2018-08-02,2018,ok,yfinance,2018-08-02,1994
WAY,T2,headline,2024-06-07,2024,ok,yfinance,2024-06-07,523
VTEX,T2,headline,2021-07-21,2021,ok,yfinance,2021-07-21,1248
GLBE,T2,headline,2021-05-12,2021,ok,yfinance,2021-05-12,1296
OLO,T2,headline,2021-03-17,2021,missing_both_sources,,,0
FIGS,T2,headline,2021-05-27,2021,ok,yfinance,2021-05-27,1285
LTH,T2,headline,2021-10-07,2021,ok,yfinance,2021-10-07,1193
CERT,T2,headline,2020-12-11,2020,ok,yfinance,2020-12-11,1399
PWSC,T2,headline,2021-07-28,2021,missing_both_sources,,,0
NXT,T2,headline,2023-02-09,2023,ok,yfinance,2023-02-09,856
NVST,T2,headline,2019-09-18,2019,ok,yfinance,2019-09-18,1711
BNTX,T2,headline,2019-10-10,2019,ok,yfinance,2019-10-10,1695
KC,T2,headline,2020-05-08,2020,ok,yfinance,2020-05-08,1550
ALHC,T2,headline,2021-03-26,2021,ok,yfinance,2021-03-26,1328
SNDR,T2,headline,2017-04-06,2017,ok,yfinance,2017-04-06,2327
AZEK,T2,headline,2020-06-12,2020,missing_both_sources,,,0
RSKD,T2,headline,2021-07-29,2021,ok,yfinance,2021-07-29,1242
EVCM,T2,headline,2021-07-01,2021,ok,yfinance,2021-07-01,1261
GEMI,T2,headline,2025-09-12,2025,ok,yfinance,2025-09-12,207
SLQT,T2,headline,2020-05-21,2020,ok,yfinance,2020-05-21,1541
PANW,T2,headline,2012-07-19,2012,ok,yfinance,2012-07-20,3512
NXPI,T2,headline,2010-08-05,2010,ok,yfinance,2010-08-06,4005
FHB,T2,headline,2016-08-04,2016,ok,yfinance,2016-08-05,2495
PSTG,T2,headline,2015-10-07,2015,missing_both_sources,,,0
GPRO,T2,headline,2014-06-26,2014,ok,yfinance,2014-06-26,3027
AMH,T2,headline,2013-07-31,2013,ok,yfinance,2013-08-01,3254
RERE,T2,headline,2021-06-18,2021,ok,yfinance,2021-06-18,1270
GDDY,T2,headline,2015-04-01,2015,ok,yfinance,2015-03-31,2836
PACS,T2,headline,2024-04-11,2024,ok,yfinance,2024-04-11,563
ACT,T2,headline,2021-09-16,2021,ok,yfinance,2021-09-16,1208
POSH,T2,headline,2021-01-14,2021,missing_both_sources,,,0
ST,T2,headline,2010-03-10,2010,ok,yfinance,2010-03-11,4108
SG,T2,headline,2021-11-18,2021,ok,yfinance,2021-11-18,1163
LEGN,T2,headline,2020-06-05,2020,ok,yfinance,2020-06-05,1531
CON,T2,headline,2024-07-25,2024,ok,yfinance,2024-07-25,491
LPLA,T2,headline,2010-11-18,2010,ok,yfinance,2010-11-18,3932
SQ,T2,headline,2015-11-19,2015,missing_both_sources,,,0
WWAV,T2,headline,2012-10-26,2012,missing_both_sources,,,0
RXRX,T2,headline,2021-04-16,2021,ok,yfinance,2021-04-16,1314
CDW,T2,headline,2013-06-26,2013,ok,yfinance,2013-06-27,3278
ARCO,T2,headline,2011-04-13,2011,ok,yfinance,2011-04-14,3831
SVV,T2,headline,2023-06-29,2023,ok,yfinance,2023-06-29,760
APO,T2,headline,2011-03-29,2011,ok,yfinance,2011-03-30,3842
LGN,T2,headline,2025-09-12,2025,ok,yfinance,2025-09-12,207
ANET,T2,headline,2014-06-06,2014,ok,yfinance,2014-06-06,3041
KLC,T2,headline,2024-10-09,2024,ok,yfinance,2024-10-09,438
MCG,T2,headline,2021-07-15,2021,missing_both_sources,,,0
INNV,T2,headline,2021-03-04,2021,ok,yfinance,2021-03-04,1344
ARRY,T2,headline,2020-10-15,2020,ok,yfinance,2020-10-15,1439
DNUT,T2,headline,2021-07-01,2021,ok,yfinance,2021-07-01,1261
TMHC,T2,headline,2013-04-09,2013,ok,yfinance,2013-04-10,3333
NCNO,T2,headline,2020-07-14,2020,ok,yfinance,2020-07-14,1505
TPH,T2,headline,2013-01-30,2013,late_start_gap,yfinance,2026-05-13,1
CAAP,T2,headline,2018-02-01,2018,ok,yfinance,2018-02-01,2120
VERX,T2,headline,2020-07-29,2020,ok,yfinance,2020-07-29,1494
BKU,T2,headline,2011-01-27,2011,ok,yfinance,2011-01-28,3884
SFM,T2,headline,2013-07-31,2013,ok,yfinance,2013-08-01,3254
WBTN,T2,headline,2024-06-27,2024,ok,yfinance,2024-06-27,510
ZU,T2,headline,2013-11-15,2013,missing_both_sources,,,0
CBOE,T2,headline,2010-06-14,2010,ok,yfinance,2010-06-15,4042
KNBE,T2,headline,2021-04-22,2021,missing_both_sources,,,0
ALGM,T2,headline,2020-10-29,2020,ok,yfinance,2020-10-29,1429
RTLR,T2,headline,2019-05-23,2019,missing_both_sources,,,0
PSN,T2,headline,2019-05-08,2019,ok,yfinance,2019-05-08,1803
UXIN,T2,headline,2018-06-27,2018,ok,yfinance,2018-06-27,2019
PTRN,T2,headline,2025-09-19,2025,ok,yfinance,2025-09-19,202
AL,T2,headline,2011-04-18,2011,missing_both_sources,,,0
FELP,T2,headline,2014-06-18,2014,missing_both_sources,,,0
NMRA,T2,headline,2023-09-15,2023,ok,yfinance,2023-09-14,707
HNGE,T2,headline,2025-05-22,2025,ok,yfinance,2025-05-22,284
CMTG,T2,headline,2021-11-03,2021,ok,yfinance,2021-11-03,1174
VEEV,T2,headline,2013-10-16,2013,ok,yfinance,2013-10-16,3201
EE,T2,headline,2022-04-13,2022,ok,yfinance,2022-04-13,1063
NOW,T2,headline,2012-06-28,2012,ok,yfinance,2012-06-29,3526
