tier,entry,exit,split,n,median_hedged,mean_hedged,hit_rate,flag_small_n
T4,1,120,discovery,20,0.1259038117757159,0.15374789968672448,0.75,True
T4,1,120,validation,44,0.333575564781841,0.18582410209900466,0.7727272727272727,False
T4,1,180,discovery,20,0.15867616141824964,0.1602301567782832,0.75,True
T4,1,180,validation,43,0.3220272292633558,0.2891162681022796,0.7674418604651163,False
T4,1,250,discovery,20,0.32394818128531655,0.24506055234003288,0.85,True
T4,1,250,validation,42,0.43935486247023536,0.3405426356360526,0.8095238095238095,False
T4,5,60,discovery,20,0.04195738515137745,0.03677682939851455,0.65,True
T4,5,60,validation,45,0.1727818928197539,0.044865224900193595,0.8,False
T4,5,90,discovery,20,0.06111247327105005,0.09600300770707261,0.75,True
T4,5,90,validation,44,0.24282190651025704,0.12780799552540442,0.6818181818181818,False
T4,5,120,discovery,20,0.1294379270534447,0.14571084087543765,0.8,True
T4,5,120,validation,44,0.32356151484422097,0.20851603660545995,0.8181818181818182,False
T4,5,180,discovery,20,0.1307321531668994,0.15407726852054032,0.75,True
T4,5,180,validation,43,0.3345163140489481,0.3010459763665233,0.813953488372093,False
T4,5,250,discovery,20,0.32941138830878713,0.2424067255701589,0.8,True
T4,5,250,validation,42,0.45505103591087837,0.35232067256100863,0.8095238095238095,False
T4,10,60,discovery,20,0.021389512592597602,0.035645851104502205,0.65,True
T4,10,60,validation,45,0.1417840172365617,0.014865790663063209,0.6666666666666666,False
T4,10,90,discovery,20,0.0539577932214525,0.09543931684949206,0.7,True
T4,10,90,validation,44,0.18016572835307382,0.09752472111781912,0.7045454545454546,False
T4,10,120,discovery,20,0.1666959775741989,0.14246333062413088,0.7,True
T4,10,120,validation,44,0.3051656362170009,0.1855686589114577,0.7954545454545454,False
T4,10,180,discovery,20,0.11446687330714905,0.14696581667124886,0.7,True
T4,10,180,validation,43,0.3391296833292887,0.28472112394752674,0.813953488372093,False
T4,10,250,discovery,20,0.2889412455722362,0.23288971415910717,0.7,True
T4,10,250,validation,42,0.43889740850955755,0.3361523689695597,0.8571428571428571,False
T4,20,60,discovery,20,0.0048941182461213,0.019787621887089067,0.5,True
T4,20,60,validation,45,0.1266389325306725,-0.00806536238803239,0.7111111111111111,False
T4,20,90,discovery,20,0.0511978931141669,0.08145141294534458,0.65,True
T4,20,90,validation,44,0.1556639076785025,0.0770601762918103,0.6818181818181818,False
T4,20,120,discovery,20,0.12629537725766715,0.13358711175002003,0.75,True
T4,20,120,validation,44,0.2968858036290035,0.1627532980876997,0.8181818181818182,False
T4,20,180,discovery,20,0.14743329353957152,0.14492197750738758,0.75,True
T4,20,180,validation,43,0.3012032310674565,0.2674320052595349,0.8372093023255814,False
