ticker,tier,bucket,listing,quarter,year,era,split,n_bars,stock_e1_x60,qqq_e1_x60,hedged_e1_x60,stock_e1_x90,qqq_e1_x90,hedged_e1_x90,stock_e1_x120,qqq_e1_x120,hedged_e1_x120,stock_e1_x180,qqq_e1_x180,hedged_e1_x180,stock_e1_x250,qqq_e1_x250,hedged_e1_x250,stock_e5_x60,qqq_e5_x60,hedged_e5_x60,stock_e5_x90,qqq_e5_x90,hedged_e5_x90,stock_e5_x120,qqq_e5_x120,hedged_e5_x120,stock_e5_x180,qqq_e5_x180,hedged_e5_x180,stock_e5_x250,qqq_e5_x250,hedged_e5_x250,stock_e10_x60,qqq_e10_x60,hedged_e10_x60,stock_e10_x90,qqq_e10_x90,hedged_e10_x90,stock_e10_x120,qqq_e10_x120,hedged_e10_x120,stock_e10_x180,qqq_e10_x180,hedged_e10_x180,stock_e10_x250,qqq_e10_x250,hedged_e10_x250,stock_e20_x60,qqq_e20_x60,hedged_e20_x60,stock_e20_x90,qqq_e20_x90,hedged_e20_x90,stock_e20_x120,qqq_e20_x120,hedged_e20_x120,stock_e20_x180,qqq_e20_x180,hedged_e20_x180,stock_e20_x250,qqq_e20_x250,hedged_e20_x250,stock_e30_x60,qqq_e30_x60,hedged_e30_x60,stock_e30_x90,qqq_e30_x90,hedged_e30_x90,stock_e30_x120,qqq_e30_x120,hedged_e30_x120,stock_e30_x180,qqq_e30_x180,hedged_e30_x180,stock_e30_x250,qqq_e30_x250,hedged_e30_x250
APC,T2,considered,2026-02-12,2026Q1,2026,2020+,validation,102,0.13178854991172262,0.1865187273100939,0.05473017739837127,0.03207395378329103,0.18337641861780285,0.15130246483451182,,,,,,,,,,0.06049942096615979,0.17309068633214375,0.11259126536598396,-0.032934349382837125,0.16998393969961145,0.20291828908244858,,,,,,,,,,0.07165668717506368,0.17602695841392646,0.10437027123886278,-0.022760078004553375,0.17291243552546742,0.1956725135300208,,,,,,,,,,0.13116003725233139,0.20290608786993958,0.07174605061760819,0.03150081532431703,0.19972037982427504,0.168219564499958,,,,,,,,,,0.1548862475620405,0.26789065896631037,0.11300441140426987,0.05313666213028201,0.2645328494797492,0.2113961873494672,,,,,,,,,
KARD,T2,considered,2026-06-18,2026Q2,2026,2020+,validation,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALMR,T2,considered,2026-04-17,2026Q2,2026,2020+,validation,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EROC,T2,considered,2026-06-10,2026Q2,2026,2020+,validation,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVEX,T1,considered,2026-04-17,2026Q2,2026,2020+,validation,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISN,T1,considered,2026-06-18,2026Q2,2026,2020+,validation,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPTX,T1,considered,2026-05-01,2026Q2,2026,2020+,validation,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKTS,T1,considered,2026-01-09,2026Q1,2026,2020+,validation,125,-0.21931036587419184,-0.032392718732474846,0.186917647141717,-0.12505743969445937,0.13852589323139686,0.26358333292585623,0.22114940073298306,0.1552318929405081,-0.06591750779247496,,,,,,,-0.1402531877348695,-0.023187975356547597,0.1170652123783219,-0.03645566143567047,0.14935656687030874,0.1858122283059792,0.3448100995413865,0.1662214889471385,-0.17858861059424802,,,,,,,-0.21461614786697647,-0.02974735305691445,0.18486879481006202,-0.11979648714387958,0.14163853756241696,0.26143502470629654,0.2284920645213142,0.15839021022073196,-0.07010185430058224,,,,,,,-0.1063158135665091,-0.012152897595323453,0.09416291597118565,0.0015789835076582825,0.16234088603388264,0.16076190252622435,0.3978947087338096,0.17939633169340774,-0.21849837704040187,,,,,,,-0.1510000228881836,-0.00167101437708439,0.1493290085110992,-0.04849996566772463,0.1746742941063808,0.22317425977410543,0.32799997329711905,0.19191071229617185,-0.1360892610009472,,,,,,
EIKN,T1,considered,2026-02-05,2026Q1,2026,2020+,validation,107,-0.2917241063611261,0.10510692649937137,0.3968310328604975,-0.37448277966729515,0.1986881855008984,0.5731709651681935,,,,,,,,,,-0.3074847936211471,0.1216842553004247,0.4291690489215718,-0.38840190549659803,0.21666929457233586,0.6050712000689339,,,,,,,,,,-0.3098118025014851,0.10663167205393176,0.41644347455541686,-0.3904570144443843,0.20034204761896146,0.5907990620633458,,,,,,,,,,-0.2858136038921053,0.1233488480648477,0.409162451956953,-0.369262891332261,0.2184748462637951,0.5877377375960561,,,,,,,,,,-0.13113361058200934,0.1574897051778188,0.28862331575982814,-0.23265652038926687,0.25550677601002136,0.48816329639928824,,,,,,,,,
ODTX,T1,considered,2026-05-08,2026Q2,2026,2020+,validation,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
